"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"24","warborn.model","jUnitTest/warborn/model/DiceTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"25","warborn.model","jUnitTest/warborn/model/DiceTest.java","1","10","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"26","warborn.model","jUnitTest/warborn/model/DiceTest.java","3","11","Avoid variables with short names like d","Naming Rules","ShortVariable"
"27","warborn.model","jUnitTest/warborn/model/DiceTest.java","3","14","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"28","warborn.model","jUnitTest/warborn/model/MoveTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"29","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","5","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"30","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","6","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"31","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","7","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"32","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"33","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"34","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","11","Private field 'name1' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"35","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","11","Private field 'name2' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"36","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"37","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"38","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","12","Private field 'one' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"39","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","12","Private field 'two' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"40","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"41","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","13","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"42","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","17","Local variable 'model' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"43","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","22","Document empty method","Design Rules","UncommentedEmptyMethod"
"44","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","22","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"45","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","27","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"46","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","27","Local variable 't1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"47","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","28","Avoid variables with short names like t2","Naming Rules","ShortVariable"
"48","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","28","Local variable 't2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"49","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","30","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"50","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","30","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"51","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","31","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"52","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","31","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"53","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","33","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"54","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","33","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"55","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","34","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"56","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","34","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"57","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","39","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"58","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","39","Local variable 't1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"59","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","40","Avoid variables with short names like t2","Naming Rules","ShortVariable"
"60","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","40","Local variable 't2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","46","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"62","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","46","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"63","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","47","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"64","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","48","Use assertNull(x) instead of assertTrue(x==null), or assertNotNull(x) vs assertFalse(x==null)","JUnit Rules","UseAssertNullInsteadOfAssertTrue"
"65","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","49","Use assertNull(x) instead of assertTrue(x==null), or assertNotNull(x) vs assertFalse(x==null)","JUnit Rules","UseAssertNullInsteadOfAssertTrue"
"66","warborn.model","jUnitTest/warborn/model/MoveTest.java","3","54","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"67","warborn.model","jUnitTest/warborn/model/PlayerTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"68","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","15","Avoid variables with short names like c","Naming Rules","ShortVariable"
"69","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","16","The String literal 'name' appears 6 times in this file; the first occurrence is on line 16","String and StringBuffer Rules","AvoidDuplicateLiterals"
"70","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","17","Avoid variables with short names like i","Naming Rules","ShortVariable"
"71","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","18","Local variable 'test' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"72","warborn.model","jUnitTest/warborn/model/PlayerTest.java","5","19","Found 'DU'-anomaly for variable 'c' (lines '19'-'26').","Controversial Rules","DataflowAnomalyAnalysis"
"73","warborn.model","jUnitTest/warborn/model/PlayerTest.java","5","20","Found 'DU'-anomaly for variable 'name' (lines '20'-'26').","Controversial Rules","DataflowAnomalyAnalysis"
"74","warborn.model","jUnitTest/warborn/model/PlayerTest.java","5","21","Found 'DU'-anomaly for variable 'i' (lines '21'-'26').","Controversial Rules","DataflowAnomalyAnalysis"
"75","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","22","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"76","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","23","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"77","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","23","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"78","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"79","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","30","Local variable 'test' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"80","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","31","The String literal 'Tname' appears 5 times in this file; the first occurrence is on line 31","String and StringBuffer Rules","AvoidDuplicateLiterals"
"81","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","36","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"82","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","36","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"83","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","39","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"84","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","39","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"85","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","44","Local variable 'test' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"86","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","45","Local variable 'deck' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"87","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","50","Avoid variables with short names like c","Naming Rules","ShortVariable"
"88","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","50","Local variable 'c' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"89","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","52","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"90","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","60","Avoid variables with short names like c","Naming Rules","ShortVariable"
"91","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","62","Avoid variables with short names like c2","Naming Rules","ShortVariable"
"92","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","68","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"93","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","79","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"94","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","86","The String literal 'test' appears 10 times in this file; the first occurrence is on line 86","String and StringBuffer Rules","AvoidDuplicateLiterals"
"95","warborn.model","jUnitTest/warborn/model/PlayerTest.java","3","95","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"96","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"97","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"98","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","8","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"99","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","1","11","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"100","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","1","15","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"101","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","16","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"102","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","17","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"103","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","19","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"104","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","20","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"105","warborn.model","jUnitTest/warborn/model/TerritoryFactoryTest.java","3","22","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"106","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"107","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","8","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"108","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"109","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","8","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"110","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","9","Avoid variables with short names like t2","Naming Rules","ShortVariable"
"111","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"112","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","9","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"113","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","10","Avoid variables with short names like t3","Naming Rules","ShortVariable"
"114","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"115","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"116","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","11","Avoid variables with short names like t4","Naming Rules","ShortVariable"
"117","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"118","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","11","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"119","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","1","14","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"120","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","1","21","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"121","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","22","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"122","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","23","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"123","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","23","Use assertNull(x) instead of assertTrue(x==null), or assertNotNull(x) vs assertFalse(x==null)","JUnit Rules","UseAssertNullInsteadOfAssertTrue"
"124","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"125","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","24","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"126","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","25","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"127","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","25","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"128","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","1","28","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"129","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","29","Local variable 'player' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"130","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","31","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"131","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","31","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"132","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","32","Local variable 'player2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"133","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","34","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"134","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","1","37","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"135","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","39","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"136","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","1","48","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"137","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","63","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"138","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","66","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"139","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","67","assertTrue(!expr) can be replaced by assertFalse(expr)","JUnit Rules","SimplifyBooleanAssertion"
"140","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","72","Use assertEquals(x, y) instead of assertTrue(x.equals(y))","JUnit Rules","UseAssertEqualsInsteadOfAssertTrue"
"141","warborn.model","jUnitTest/warborn/model/TerritoryTest.java","3","74","Local variable 'card' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"142","warborn.model","jUnitTest/warborn/model/WarbornTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"143","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","9","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"144","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"145","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"146","warborn.model","jUnitTest/warborn/model/WarbornTest.java","1","13","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"147","warborn.model","jUnitTest/warborn/model/WarbornTest.java","1","17","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"148","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","18","Local variable 'names' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"149","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","19","Local variable 'colors' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"150","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","20","Local variable 'races' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"151","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","21","Local variable 'backgrounds' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"152","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","23","Local variable 'players' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"153","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"154","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","25","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"155","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","26","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"156","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","27","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"157","warborn.model","jUnitTest/warborn/model/WarbornTest.java","1","30","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"158","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","32","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"159","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","32","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"160","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","33","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"161","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","34","Use assertSame(x, y) instead of assertTrue(x==y), or assertNotSame(x,y) vs assertFalse(x==y)","JUnit Rules","UseAssertSameInsteadOfAssertTrue"
"162","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","37","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"163","warborn.model","jUnitTest/warborn/model/WarbornTest.java","1","37","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"164","warborn.model","jUnitTest/warborn/model/WarbornTest.java","1","42","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"165","warborn.model","jUnitTest/warborn/model/WarbornTest.java","3","43","The String literal 'not implemented yet!' appears 7 times in this file; the first occurrence is on line 43","String and StringBuffer Rules","AvoidDuplicateLiterals"
"166","warborn.controller","src/warborn/controller/BattleController.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"167","warborn.controller","src/warborn/controller/BattleController.java","3","9","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"168","warborn.controller","src/warborn/controller/BattleController.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"169","warborn.controller","src/warborn/controller/BattleController.java","3","10","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"170","warborn.controller","src/warborn/controller/BattleController.java","3","12","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"171","warborn.controller","src/warborn/controller/BattleController.java","3","12","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"172","warborn.controller","src/warborn/controller/BattleController.java","3","21","Avoid variables with short names like e","Naming Rules","ShortVariable"
"173","warborn.controller","src/warborn/controller/BattleController.java","3","21","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
